Spool ID,X1,X2,X3,Order,mean
20,0,0,0,3,93.43
47,0,0,1,7,93.34
46,0,1,0,20,93.36
23,0,1,1,6,93.3
13,1,0,0,12,93.42
18,1,0,1,15,92.23
14,1,1,0,19,94.26
41,1,1,1,4,94.04
42,0,0,0,1,93.36
19,0,0,1,23,93.3
16,0,1,0,11,93.47
24,0,1,1,18,93.43
40,1,0,0,21,93.44
38,1,0,1,5,92.48
22,1,1,0,22,94.17
44,1,1,1,9,94.77
17,0,0,0,14,93.08
48,0,0,1,24,92.86
37,0,1,0,2,93.33
15,0,1,1,10,93.34
43,1,0,0,8,92.8
39,1,0,1,13,92.03
45,1,1,0,17,94.04
21,1,1,1,16,94.27
